rn	WebDivLabel
Br0942_ablinknj-1	neurons_ambiguous_2
Br0942_ablkhelm-1	neurons_ambiguous_2
Br0942_ablknglh-1	neurons_ambiguous_2
Br0942_ablnldhe-1	macrophages_microglia_15
Br0942_abloiipg-1	astrocytes_5
Br0942_ablomodl-1	macrophages_microglia_15
Br0942_ablpbecm-1	macrophages_microglia_15
Br0942_abmcanhc-1	astrocytes_5
Br0942_abmdmdbl-1	astrocytes_5
Br0942_abmfpbld-1	astrocytes_5
Br0942_abmgnieb-1	astrocytes_5
Br0942_abmjadng-1	astrocytes_5
Br0942_abmkddad-1	astrocytes_5
Br0942_abmlfcom-1	astrocytes_5
Br0942_abmmkicf-1	inhibitory_4
Br0942_abmmlmhg-1	inhibitory_25
Br0942_abmnmifp-1	astrocytes_5
Br0942_abmplflm-1	inhibitory_25
Br0942_abncjkeg-1	inhibitory_25
Br0942_abnkjlkd-1	astrocytes_5
Br0942_abnlkadb-1	endothelial_mural_16
Br0942_abnlppoe-1	astrocytes_5
Br0942_abnmccfg-1	astrocytes_5
Br0942_aboabcdn-1	astrocytes_5
Br0942_aboahbmo-1	endothelial_mural_16
Br0942_abochfoo-1	neurons_ambiguous_2
Br0942_abohcphp-1	endothelial_mural_16
Br0942_abohpldk-1	endothelial_mural_16
Br0942_abokclnk-1	astrocytes_5
Br0942_abolngga-1	astrocytes_5
Br0942_abpcdeji-1	endothelial_mural_16
Br0942_abpfpjeh-1	endothelial_mural_16
Br0942_abpjgajf-1	endothelial_mural_16
Br0942_abpjohji-1	endothelial_mural_16
Br0942_abpmekoi-1	endothelial_mural_16
Br0942_abpmolab-1	endothelial_mural_16
Br0942_abpmpbmj-1	astrocytes_5
Br0942_abpoggei-1	endothelial_mural_16
Br0942_abppcele-1	endothelial_mural_16
Br0942_acaihmpe-1	inhibitory_25
Br0942_acakoaoj-1	neurons_ambiguous_2
Br0942_acbapmeb-1	neurons_ambiguous_2
Br0942_acbddfcg-1	inhibitory_25
Br0942_acbeednc-1	inhibitory_25
Br0942_acbfafgl-1	neurons_ambiguous_2
Br0942_acbfcoed-1	inhibitory_25
Br0942_acbfipbe-1	endothelial_mural_16
Br0942_acbhdodg-1	neurons_ambiguous_1
Br0942_acblllab-1	oligodendrocytes_10
Br0942_acblncmi-1	astrocytes_5
Br0942_acbmjlia-1	neurons_ambiguous_2
Br0942_acbngnbb-1	inhibitory_25
Br0942_accgimmh-1	inhibitory_4
Br0942_accjiemo-1	oligodendrocytes_10
Br0942_accmhieg-1	oligodendrocytes_10
Br0942_accodmgf-1	inhibitory_25
Br0942_acdcilfa-1	inhibitory_4
Br0942_acdhbpdf-1	endothelial_mural_16
Br0942_acdkfoja-1	endothelial_mural_16
Br0942_acdkphbm-1	endothelial_mural_16
Br0942_acdmmhpk-1	neurons_ambiguous_2
Br0942_acdoekfm-1	neurons_ambiguous_2
Br0942_aceabimf-1	astrocytes_5
Br0942_acebkkpe-1	astrocytes_5
Br0942_acedjpnd-1	neurons_ambiguous_2
Br0942_acehmbbk-1	inhibitory_4
Br0942_aceiifal-1	neurons_ambiguous_2
Br0942_acejkinl-1	inhibitory_4
Br0942_acenhbne-1	neurons_ambiguous_2
Br0942_acfcpipo-1	oligodendrocytes_28
Br0942_acffdgbm-1	astrocytes_5
Br0942_acffphcj-1	astrocytes_5
Br0942_acfgcagm-1	neurons_ambiguous_2
Br0942_acfhdmmn-1	neurons_ambiguous_2
Br0942_acfkmide-1	astrocytes_5
Br0942_acfpklaf-1	inhibitory_4
Br0942_acgcbopk-1	astrocytes_5
Br0942_acgihaaj-1	astrocytes_5
Br0942_acgkeikm-1	endothelial_mural_16
Br0942_acgkkmgk-1	astrocytes_5
Br0942_acgledgl-1	inhibitory_4
Br0942_acgobdhb-1	astrocytes_5
Br0942_achcmhae-1	astrocytes_5
Br0942_achenbfg-1	astrocytes_5
Br0942_achidigg-1	inhibitory_4
Br0942_achkppaa-1	inhibitory_4
Br0942_acidmmho-1	neurons_ambiguous_2
Br0942_aciemnee-1	inhibitory_4
Br0942_acifnakb-1	astrocytes_5
Br0942_acigmafa-1	inhibitory_4
Br0942_acjdgbaa-1	endothelial_mural_16
Br0942_acjfpibm-1	endothelial_mural_16
Br0942_acjkleni-1	astrocytes_5
Br0942_ackckbkg-1	endothelial_mural_16
Br0942_ackgjdpf-1	astrocytes_5
Br0942_ackjiknh-1	endothelial_mural_16
Br0942_ackkbkab-1	inhibitory_4
Br0942_ackkdodb-1	inhibitory_14
Br0942_ackpegoj-1	inhibitory_25
Br0942_aclgodmk-1	inhibitory_4
Br0942_acljggda-1	inhibitory_25
Br0942_acmgegki-1	endothelial_mural_16
Br0942_acmhoign-1	endothelial_mural_16
Br0942_acmjlajd-1	endothelial_mural_16
Br0942_acmoklog-1	inhibitory_4
Br0942_acnbokjl-1	inhibitory_25
Br0942_acnfchmf-1	endothelial_mural_16
Br0942_acnfmoki-1	oligodendrocytes_12
Br0942_acngdkmi-1	inhibitory_25
Br0942_acnifnio-1	astrocytes_5
Br0942_acnodojh-1	endothelial_mural_16
Br0942_acnpmlei-1	oligodendrocytes_10
Br0942_acoahipg-1	inhibitory_25
Br0942_acoeallj-1	oligodendrocytes_28
Br0942_acoeijjj-1	oligodendrocytes_28
Br0942_acoeoadk-1	astrocytes_5
Br0942_acofmgic-1	astrocytes_5
Br0942_acoghlkf-1	inhibitory_4
Br0942_acogkkch-1	endothelial_mural_16
Br0942_acoidgbo-1	astrocytes_5
Br0942_acojabhl-1	astrocytes_5
Br0942_acojoflm-1	neurons_ambiguous_2
Br0942_acokomko-1	inhibitory_14
Br0942_acomhdkc-1	macrophages_microglia_15
Br0942_acpfgkmg-1	astrocytes_5
Br0942_acpggnod-1	endothelial_mural_16
Br0942_acpjijop-1	oligodendrocytes_28
Br0942_acpleipj-1	endothelial_mural_16
Br0942_acpoicfl-1	astrocytes_5
Br0942_adacbnlm-1	endothelial_mural_16
Br0942_adadabbe-1	astrocytes_5
Br0942_adaelbik-1	astrocytes_5
Br0942_adahghik-1	astrocytes_5
Br0942_adahmodi-1	neurons_ambiguous_2
Br0942_adaleaod-1	neurons_ambiguous_2
Br0942_adanbffe-1	inhibitory_14
Br0942_adbfobbn-1	neurons_ambiguous_2
Br0942_adbildbd-1	neurons_ambiguous_2
Br0942_adbkcmge-1	neurons_ambiguous_2
Br0942_adbkecle-1	astrocytes_5
Br0942_adbplcja-1	neurons_ambiguous_2
Br0942_adcbpjki-1	macrophages_microglia_15
Br0942_adcddjnf-1	inhibitory_4
Br0942_adcebfeg-1	endothelial_mural_16
Br0942_adceclbj-1	endothelial_mural_16
Br0942_adchgiia-1	astrocytes_5
Br0942_adcjaipo-1	endothelial_mural_16
Br0942_adcnncfi-1	astrocytes_5
Br0942_addbmagd-1	astrocytes_5
Br0942_addffpfo-1	astrocytes_5
Br0942_addkoiig-1	endothelial_mural_16
Br0942_addmkloo-1	astrocytes_5
Br0942_addodhfn-1	endothelial_mural_16
Br0942_addongoh-1	astrocytes_5
Br0942_adebfchj-1	inhibitory_4
Br0942_adechdfn-1	inhibitory_4
Br0942_adecjjfb-1	endothelial_mural_16
Br0942_adedabkn-1	astrocytes_5
Br0942_adeeclhf-1	endothelial_mural_16
Br0942_adembajk-1	endothelial_mural_16
Br0942_adencjkn-1	endothelial_mural_16
Br0942_adengdom-1	astrocytes_5
Br0942_adeolnfn-1	endothelial_mural_16
Br0942_adfbcfdb-1	astrocytes_5
Br0942_adfcaope-1	oligodendrocytes_28
Br0942_adffefbn-1	OPCs_27
Br0942_adffifmg-1	inhibitory_25
Br0942_adfgdpjn-1	endothelial_mural_16
Br0942_adfhcakn-1	neurons_ambiguous_2
Br0942_adfippop-1	macrophages_microglia_15
Br0942_adfmjble-1	oligodendrocytes_10
Br0942_adgcppdl-1	inhibitory_25
Br0942_adgkcdbh-1	oligodendrocytes_28
Br0942_adglonnp-1	neurons_ambiguous_2
Br0942_adhacchj-1	oligodendrocytes_28
Br0942_adhbbghm-1	endothelial_mural_16
Br0942_adhcenfc-1	endothelial_mural_16
Br0942_adhjlpek-1	inhibitory_4
Br0942_adhkfkbm-1	oligodendrocytes_28
Br0942_adhlfimh-1	endothelial_mural_16
Br0942_adhohcgh-1	macrophages_microglia_15
Br0942_adianhkb-1	endothelial_mural_16
Br0942_adiffhkg-1	endothelial_mural_16
Br0942_adihdjlc-1	endothelial_mural_16
Br0942_adiiobjj-1	endothelial_mural_16
Br0942_adinhcjk-1	neurons_ambiguous_2
Br0942_adjdimjj-1	astrocytes_5
Br0942_adjeeggo-1	endothelial_mural_16
Br0942_adjekknd-1	oligodendrocytes_9
Br0942_adjemmnm-1	oligodendrocytes_28
Br0942_adjjiacc-1	endothelial_mural_16
Br0942_adjlnagc-1	oligodendrocytes_10
Br0942_adjnngef-1	astrocytes_5
Br0942_adkaabip-1	neurons_ambiguous_2
Br0942_adkeiaij-1	endothelial_mural_16
Br0942_adkhadpn-1	oligodendrocytes_28
Br0942_adkjfdnn-1	neurons_ambiguous_2
Br0942_adkjigma-1	astrocytes_5
Br0942_adkjokhe-1	astrocytes_5
Br0942_adkmjflm-1	neurons_ambiguous_2
Br0942_adlhcmmk-1	neurons_ambiguous_2
Br0942_adlhiing-1	neurons_ambiguous_2
Br0942_adlhpclc-1	inhibitory_4
Br0942_adljkpgj-1	oligodendrocytes_28
Br0942_adlkkndm-1	neurons_ambiguous_2
Br0942_adlpmkkp-1	neurons_ambiguous_2
Br0942_admehmbk-1	neurons_ambiguous_2
Br0942_admelpak-1	astrocytes_5
Br0942_admgjkil-1	endothelial_mural_16
Br0942_admlffmo-1	endothelial_mural_16
Br0942_admnhekl-1	astrocytes_5
Br0942_admpdpeo-1	astrocytes_5
Br0942_admpnefb-1	oligodendrocytes_10
Br0942_adnelmik-1	astrocytes_5
Br0942_adnhmkmd-1	astrocytes_5
Br0942_adnjdkeh-1	oligodendrocytes_10
Br0942_adnjpmdk-1	astrocytes_5
Br0942_adnnnbgc-1	endothelial_mural_16
Br0942_adnpoeng-1	oligodendrocytes_10
Br0942_adoajcjg-1	endothelial_mural_16
Br0942_adocaaml-1	astrocytes_5
Br0942_adodlild-1	endothelial_mural_16
Br0942_adoeaela-1	astrocytes_5
Br0942_adoibflg-1	astrocytes_5
Br0942_adokkjno-1	endothelial_mural_16
Br0942_adolgeme-1	neurons_ambiguous_2
Br0942_adoogenk-1	astrocytes_5
Br0942_adpaaohc-1	endothelial_mural_16
Br0942_adpaiapp-1	inhibitory_4
Br0942_adpbfiko-1	inhibitory_4
Br0942_adpbkleh-1	endothelial_mural_16
Br0942_adpdnbef-1	inhibitory_25
Br0942_adphbgpb-1	endothelial_mural_16
Br0942_adpialmc-1	neurons_ambiguous_1
Br0942_adpmbmda-1	oligodendrocytes_10
Br0942_adppjgoj-1	endothelial_mural_16
Br0942_aeabaobk-1	endothelial_mural_16
Br0942_aeackfjd-1	endothelial_mural_16
Br0942_aeacklpb-1	astrocytes_5
Br0942_aeackpnk-1	oligodendrocytes_28
Br0942_aeadobbb-1	oligodendrocytes_28
Br0942_aeaelkdb-1	inhibitory_25
Br0942_aeaminpl-1	OPCs_27
Br0942_aebbejjn-1	astrocytes_5
Br0942_aebdjmpf-1	oligodendrocytes_28
Br0942_aebfdnom-1	astrocytes_5
Br0942_aebhmnag-1	macrophages_microglia_15
Br0942_aebikheb-1	OPCs_27
Br0942_aebnobki-1	astrocytes_5
Br0942_aebpdlnd-1	neurons_ambiguous_2
Br0942_aebpnbie-1	neurons_ambiguous_2
Br0942_aecchlfa-1	oligodendrocytes_28
Br0942_aecelkhl-1	astrocytes_5
Br0942_aecijhdp-1	astrocytes_5
Br0942_aeclbnho-1	neurons_ambiguous_2
Br0942_aeclkode-1	macrophages_microglia_15
Br0942_aecloikg-1	macrophages_microglia_15
Br0942_aecmhblk-1	inhibitory_25
Br0942_aecnjifo-1	oligodendrocytes_10
Br0942_aecphemb-1	inhibitory_4
Br0942_aedanefl-1	neurons_ambiguous_2
Br0942_aedddjkf-1	oligodendrocytes_28
Br0942_aeddgdbi-1	astrocytes_5
Br0942_aediidnb-1	astrocytes_5
Br0942_aedkbfho-1	oligodendrocytes_28
Br0942_aedkgino-1	oligodendrocytes_28
Br0942_aeeabkpc-1	macrophages_microglia_15
Br0942_aeeakckd-1	neurons_ambiguous_2
Br0942_aeebicbi-1	oligodendrocytes_28
Br0942_aeedpphc-1	astrocytes_5
Br0942_aeejkdee-1	neurons_ambiguous_2
Br0942_aefaocib-1	neurons_ambiguous_2
Br0942_aefcbdcj-1	oligodendrocytes_28
Br0942_aefdkfgk-1	macrophages_microglia_15
Br0942_aefeeifp-1	inhibitory_4
Br0942_aefghjde-1	oligodendrocytes_10
Br0942_aefilcgg-1	endothelial_mural_16
Br0942_aeflbokf-1	inhibitory_4
Br0942_aefmmelc-1	inhibitory_4
Br0942_aegbemeb-1	astrocytes_5
Br0942_aegcloef-1	astrocytes_5
Br0942_aegcpbpl-1	endothelial_mural_16
Br0942_aegdgllp-1	OPCs_27
Br0942_aegdgmmp-1	endothelial_mural_16
Br0942_aegecgcg-1	neurons_ambiguous_3
Br0942_aegjakjb-1	astrocytes_5
Br0942_aegkaibf-1	inhibitory_25
Br0942_aegmaela-1	inhibitory_25
Br0942_aegncnkn-1	astrocytes_5
Br0942_aegnocem-1	endothelial_mural_16
Br0942_aehbahli-1	astrocytes_5
Br0942_aehcbgdf-1	astrocytes_5
Br0942_aehcnhoa-1	endothelial_mural_16
Br0942_aeheeohp-1	inhibitory_4
Br0942_aehfcnna-1	inhibitory_4
Br0942_aehkblee-1	inhibitory_4
Br0942_aehkmipg-1	endothelial_mural_16
Br0942_aehlkadh-1	inhibitory_14
Br0942_aeidokek-1	oligodendrocytes_12
Br0942_aeiillcf-1	endothelial_mural_16
Br0942_aeiioeoc-1	neurons_ambiguous_2
Br0942_aeilpdbf-1	neurons_ambiguous_2
Br0942_aeinnefi-1	astrocytes_5
Br0942_aejbbgjk-1	endothelial_mural_16
Br0942_aejbficp-1	astrocytes_5
Br0942_aejbpmbe-1	endothelial_mural_16
Br0942_aejddojh-1	endothelial_mural_16
Br0942_aejkjngl-1	inhibitory_4
Br0942_aejoaiog-1	inhibitory_4
Br0942_aekaiffj-1	neurons_ambiguous_1
Br0942_aekajoek-1	astrocytes_5
Br0942_aekcbohk-1	astrocytes_5
Br0942_aekfbcel-1	endothelial_mural_16
Br0942_aekfidgi-1	inhibitory_4
Br0942_aekflgkf-1	inhibitory_4
Br0942_aekjebkb-1	endothelial_mural_16
Br0942_aekldpio-1	endothelial_mural_16
Br0942_aeklkghb-1	inhibitory_4
Br0942_aekpnjde-1	endothelial_mural_16
Br0942_aelkhioa-1	endothelial_mural_16
Br0942_aellghcg-1	endothelial_mural_16
Br0942_aelpielk-1	neurons_ambiguous_2
Br0942_aelpjlgk-1	neurons_ambiguous_2
Br0942_aemaidbb-1	inhibitory_4
Br0942_aemaooln-1	oligodendrocytes_28
Br0942_aemlggdj-1	oligodendrocytes_10
Br0942_aenceccm-1	oligodendrocytes_10
Br0942_aeneamoe-1	oligodendrocytes_10
Br0942_aeneefdk-1	endothelial_mural_16
Br0942_aenenpbp-1	neurons_ambiguous_2
Br0942_aenfmdea-1	endothelial_mural_16
Br0942_aengnain-1	oligodendrocytes_28
Br0942_aenibhfa-1	inhibitory_4
Br0942_aenifhck-1	inhibitory_25
Br0942_aenkalga-1	oligodendrocytes_10
Br0942_aenppbmk-1	inhibitory_14
Br0942_aeoanceo-1	astrocytes_5
Br0942_aeojbpan-1	endothelial_mural_16
Br0942_aeolojdc-1	neurons_ambiguous_2
Br0942_aeomjahi-1	astrocytes_5
Br0942_aeonebmo-1	endothelial_mural_16
Br0942_aeonlbkd-1	endothelial_mural_16
Br0942_aeoobkli-1	inhibitory_4
Br0942_aepdijhm-1	astrocytes_5
Br0942_aepdpgpj-1	astrocytes_5
Br0942_aepgejig-1	astrocytes_5
Br0942_aeplinci-1	endothelial_mural_16
Br0942_aeplldcf-1	endothelial_mural_16
Br0942_afabhakp-1	astrocytes_5
Br0942_afacnbfi-1	5HT_21
Br0942_afagiheg-1	astrocytes_5
Br0942_afahmmgn-1	astrocytes_5
Br0942_afaibngk-1	endothelial_mural_16
Br0942_afajmnad-1	inhibitory_4
Br0942_afakepci-1	neurons_ambiguous_2
Br0942_afbcbhip-1	endothelial_mural_16
Br0942_afbeiknh-1	endothelial_mural_16
Br0942_afbgdcmj-1	endothelial_mural_16
Br0942_afbkhejl-1	endothelial_mural_16
Br0942_afboceme-1	astrocytes_5
Br0942_afbpiool-1	endothelial_mural_16
Br0942_afbpobjp-1	neurons_ambiguous_2
Br0942_afcalbmg-1	neurons_ambiguous_2
Br0942_afccfmho-1	inhibitory_25
Br0942_afccindn-1	oligodendrocytes_28
Br0942_afchhobl-1	inhibitory_4
Br0942_afcipail-1	inhibitory_25
Br0942_afclcpid-1	inhibitory_4
Br0942_afdgfpeg-1	astrocytes_5
Br0942_afdleaai-1	astrocytes_5
Br0942_afdoijip-1	oligodendrocytes_9
Br0942_afedejoc-1	endothelial_mural_16
Br0942_afeeaacf-1	neurons_ambiguous_3
Br0942_afegjdnd-1	astrocytes_5
Br0942_afenimog-1	inhibitory_4
Br0942_affaljaa-1	endothelial_mural_16
Br0942_affggllg-1	astrocytes_5
Br0942_affgpija-1	neurons_ambiguous_2
Br0942_affihjgi-1	astrocytes_5
Br0942_affjagbn-1	oligodendrocytes_10
Br0942_affkdkia-1	inhibitory_4
Br0942_afflefio-1	neurons_ambiguous_2
Br0942_affpjhbi-1	OPCs_27
Br0942_afgccmda-1	OPCs_27
Br0942_afggaeep-1	astrocytes_5
Br0942_afgibmfk-1	endothelial_mural_16
Br0942_afgmnmdg-1	macrophages_microglia_15
Br0942_afgodfkc-1	astrocytes_5
Br0942_afgojjgi-1	neurons_ambiguous_2
Br0942_afhjgjkp-1	oligodendrocytes_28
Br0942_afhkjpdb-1	inhibitory_4
Br0942_afhlmbhf-1	endothelial_mural_16
Br0942_afhmjglb-1	inhibitory_14
Br0942_afhneohl-1	endothelial_mural_16
Br0942_aficpimn-1	neurons_ambiguous_2
Br0942_afifhaka-1	neurons_ambiguous_2
Br0942_afihfjdn-1	macrophages_microglia_15
Br0942_afihjffc-1	oligodendrocytes_28
Br0942_afijfpja-1	endothelial_mural_16
Br0942_afijgbeb-1	astrocytes_5
Br0942_afimaopa-1	neurons_ambiguous_2
Br0942_afimmiae-1	neurons_ambiguous_2
Br0942_afimohlg-1	neurons_ambiguous_2
Br0942_afiofokj-1	oligodendrocytes_28
Br0942_afippgad-1	astrocytes_5
Br0942_afjdghdl-1	astrocytes_5
Br0942_afjffnfe-1	inhibitory_4
Br0942_afjghojj-1	endothelial_mural_16
Br0942_afjhgcom-1	endothelial_mural_16
Br0942_afjicnhp-1	endothelial_mural_16
Br0942_afjijgbl-1	endothelial_mural_16
Br0942_afjlhkll-1	endothelial_mural_16
Br0942_afjlihmo-1	endothelial_mural_16
